DEP,avg_severity,count_of_accidents
01,2.0523805800953796,5370
02,2.0836934273368204,3838
03,2.030526710872013,3411
04,2.1806102362204722,1753
05,2.013754045307443,1523
06,1.7453313132924009,28447
07,2.1688905833015633,2363
08,2.145752359800111,1667
09,2.135685210312076,1272
10,2.0373376623376624,2669
11,1.9754090425016944,4562
12,2.1275596468157056,2261
13,1.8055593910732162,52188
14,1.9749681480926329,5748
15,2.129573826947912,1012
16,2.1319300883292613,2425
17,1.8810037157667783,9948
18,1.955775653575953,3846
19,1.8857808857808858,3212
2A,1.897451184975406,2884
2B,1.874833007912856,4112
21,1.932257233622392,5012
22,1.9732186732186732,5350
23,2.0833333333333335,953
24,2.114082219167812,3453
25,1.9557205240174673,4997
26,1.958065680259834,5643
27,2.013455235466621,4977
28,1.9315191926473239,4658
29,1.9435921924431445,7656
30,1.9461616847826086,10338
31,1.827176407708995,14190
32,2.097612958226769,2118
33,1.775259951181072,22454
34,1.9022804372408595,14008
35,1.8884837705646955,10311
36,1.901433941250174,3360
37,1.945589919816724,7291
38,1.975157763754333,9408
39,2.206283801184651,1568
40,2.082482536270822,3164
41,1.9436274509803921,3947
42,1.8460306996892362,9280
43,2.0952843004075294,2224
44,1.9585518590998043,11592
45,1.9738706123091452,5564
46,2.0845611787315823,1433
47,2.112218779469217,3285
48,2.1700328792860497,949
49,1.856356126663607,10241
50,1.9213268750917365,5974
51,2.011701833594398,4605
52,2.002408745599407,2383
53,2.1653061224489796,1733
54,1.8034923635640019,8831
55,2.082864038616251,1753
56,1.9122446583705095,7835
57,1.913090476705221,7926
58,1.9833424858136555,2563
59,1.8761852799518361,23838
60,2.0690021984256437,5835
61,2.125688247579267,2257
62,1.9829427838039249,10455
63,1.8483799937087135,8531
64,1.8065682303236203,10453
65,1.8847038527889592,2985
66,1.9751207729468598,3491
67,1.8271654653082592,11142
68,1.945874736525143,5922
69,1.7627118644067796,25684
70,2.1270263087961734,1604
71,2.0589097809211663,4829
72,1.9656468979661597,5173
73,2.1474662458355254,2488
74,2.0857821311962006,5889
75,1.6302630530545343,87482
76,1.9249159204181694,10989
77,1.9435341009743134,11512
78,1.8095293842191524,14797
79,2.073575129533679,2576
80,1.861880747552655,7210
81,2.200453001132503,2352
82,2.1197011813759556,2660
83,1.973404606348578,12961
84,2.0290150842945875,4948
85,2.1416727121981554,4059
86,1.9268843511809541,4585
87,1.8072111846946284,6226
88,2.107027179270525,3076
89,2.0508474576271185,3390
